size,year,rooms,price
153,1979,5,725000
88,2020,4,386000
114,2023,5,469000
141,2020,5,595000
142,2003,5,590000
146,2014,4,709000
100,1941,5,520000
180,2002,5,489000
143,2009,5,525000
157,2005,5,675000
127,2024,5,580000
114,2024,5,569000
114,2024,5,569000
124,2018,4,595000
126,2019,5,449000
160,1995,4,568000
155,1994,4,378000
125,1995,5,585000
111,1995,5,618000
100,2024,4,499000
94,2020,4,635000
98,2024,4,469000
135,1993,5,799000
150,2002,4,575000
139,1951,5,418000
107,2011,4,419900
125,1979,5,325000
124,2024,5,669000
129,2024,5,662000
104,2024,4,579800
153,1979,5,725000
88,2020,4,386000
114,2023,5,469000
141,2020,5,595000
142,2003,5,590000
146,2014,4,709000
100,1941,5,520000
180,2002,5,489000
143,2009,5,525000
157,2005,5,675000
127,2024,5,580000
114,2024,5,569000
114,2024,5,569000
124,2018,4,595000
126,2019,5,449000
160,1995,4,568000
155,1994,4,378000
125,1995,5,585000
111,1995,5,618000
100,2024,4,499000
94,2020,4,635000
98,2024,4,469000
135,1993,5,799000
150,2002,4,575000
139,1951,5,418000
107,2011,4,419900
125,1979,5,325000
124,2024,5,669000
129,2024,5,662000
104,2024,4,579800
153,1979,5,725000
88,2020,4,386000
114,2023,5,469000
141,2020,5,595000
142,2003,5,590000
146,2014,4,709000
100,1941,5,520000
180,2002,5,489000
143,2009,5,525000
157,2005,5,675000
127,2024,5,580000
114,2024,5,569000
114,2024,5,569000
124,2018,4,595000
126,2019,5,449000
160,1995,4,568000
155,1994,4,378000
125,1995,5,585000
111,1995,5,618000
100,2024,4,499000
94,2020,4,635000
98,2024,4,469000
135,1993,5,799000
150,2002,4,575000
139,1951,5,418000
107,2011,4,419900
125,1979,5,325000
124,2024,5,669000
129,2024,5,662000
104,2024,4,579800
153,1979,5,725000
88,2020,4,386000
114,2023,5,469000
141,2020,5,595000
142,2003,5,590000
146,2014,4,709000
100,1941,5,520000
180,2002,5,489000
143,2009,5,525000
157,2005,5,675000
127,2024,5,580000
114,2024,5,569000
114,2024,5,569000
124,2018,4,595000
126,2019,5,449000
160,1995,4,568000
155,1994,4,378000
125,1995,5,585000
111,1995,5,618000
100,2024,4,499000
94,2020,4,635000
98,2024,4,469000
135,1993,5,799000
150,2002,4,575000
139,1951,5,418000
107,2011,4,419900
125,1979,5,325000
124,2024,5,669000
129,2024,5,662000
104,2024,4,579800
153,1979,5,725000
88,2020,4,386000
114,2023,5,469000
141,2020,5,595000
142,2003,5,590000
146,2014,4,709000
100,1941,5,520000
180,2002,5,489000
143,2009,5,525000
157,2005,5,675000
127,2024,5,580000
114,2024,5,569000
114,2024,5,569000
124,2018,4,595000
126,2019,5,449000
160,1995,4,568000
155,1994,4,378000
125,1995,5,585000
111,1995,5,618000
100,2024,4,499000
94,2020,4,635000
98,2024,4,469000
135,1993,5,799000
150,2002,4,575000
139,1951,5,418000
107,2011,4,419900
125,1979,5,325000
124,2024,5,669000
129,2024,5,662000
104,2024,4,579800
